"outcome","method","beta","se","OR","lo","hi","p"
"BACK_PAIN_UKB","IVW-FE",0.00661512488844914,0.00692527096033521,1.01352520173533,0.985967666784353,1.04185296248393,0.339468822026022
"BACK_PAIN_UKB","IVW-MRE",0.00661512488844914,0.0105839021898321,1.01352520173533,0.971712772517682,1.05713680380171,0.531959522823793
"BACK_PAIN_UKB","weighted median",0.00208208864202196,0.0120617887648915,1.00423743357449,0.95716080842126,1.05362945716059,0.862951259888489
"BACK_PAIN_UKB","MR-Egger",0.00457842443143031,0.0106459436123738,1.00934161287881,0.967462823214136,1.05303321951349,0.667149951668762
"BACK_PAIN_UKB","MVMR:TMFI",0.000262202124978286,0.0120019714866345,1.00053264395836,0.953856782570056,1.04949253380476,0.982570331277447
"BACK_PAIN_UKB","MVMR:BMI",0.126083955325431,0.0381010133935135,1.1343774013092,1.05275019056276,1.22233375033931,0.00093562257991315
"KNEE_PAIN_UKB","IVW-FE",0.0148963935832494,0.00738037836949343,1.0307151177656,1.00087539341192,1.06144447249221,0.0435519052949863
"KNEE_PAIN_UKB","IVW-MRE",0.0148963935832494,0.0115861805345188,1.0307151177656,0.984258883052456,1.07936404972626,0.198546537640229
"KNEE_PAIN_UKB","weighted median",0.014978855830933,0.0175193039307275,1.03088774739668,0.961446991581702,1.10534387962905,0.392555857066514
"KNEE_PAIN_UKB","MR-Egger",0.0129619662266386,0.0117086822361112,1.02667379601585,0.979921763141984,1.07565636673473,0.268277127803985
"KNEE_PAIN_UKB","MVMR:TMFI",0.00714008948383953,0.0128429389475664,1.01460634005084,0.964041391681475,1.06782347122652,0.578241971246629
"KNEE_PAIN_UKB","MVMR:BMI",0.243038422234992,0.0407705352574499,1.27511761604595,1.17718756383437,1.38119445422503,2.50501026613127e-09
"KNEE_PAIN_FIGSHARE","IVW-FE",-0.00174809656491124,0.00753059630340369,0.996456112743019,0.967029798012958,1.02677785799691,0.816435059701926
"KNEE_PAIN_FIGSHARE","IVW-MRE",-0.00174809656491124,0.0103971512485394,0.996456112743019,0.956058298811823,1.03856091815418,0.8664792286651
"KNEE_PAIN_FIGSHARE","weighted median",0.00875840727794023,0.0175414859237595,1.01794644734627,0.949293596799265,1.09156426753399,0.617570329664074
"KNEE_PAIN_FIGSHARE","MR-Egger",-0.00214479530498868,0.0106475775670777,0.995653641966313,0.954336575536227,1.03875949028127,0.840358411988895
"KNEE_PAIN_FIGSHARE","MVMR:TMFI",0.00434576686249948,0.011874524602918,1.00886481103301,0.96228829694207,1.0576957136183,0.714384502134731
"KNEE_PAIN_FIGSHARE","MVMR:BMI",-0.100006485713122,0.0376991152154107,0.904831549539075,0.840383661502024,0.974221859070866,0.00798379896287928
