outcome,method,exposure,nsnp,beta,se,p_normal,p_t_df_n_minus_2,ci_low,ci_high,phi,q
CPI_full,primary_IVW_MRE,TMFI,93,-0.003131528819444982,0.02441081529769772,0.8979238444324104,0.8982069290992621,-0.05097584763619191,0.04471278999730195,1.8956617338757036,172.50521778268902
CPI_full,primary_IVW_MRE,BMI,93,0.26097321815272256,0.07745956541946934,0.0007539924147655722,0.0011072389031645583,0.10915525967243844,0.4127911766330067,1.8956617338757036,172.50521778268902
CPI_full,exclude:external_metabolic_pleiotropy,TMFI,91,-0.01823914372261609,0.025921183366694005,0.4816579014019035,0.483494719222498,-0.06904372955799504,0.03256544211276286,1.7999192884345123,160.1928166706716
CPI_full,exclude:external_metabolic_pleiotropy,BMI,91,0.2524973683193219,0.07615007303758378,0.0009138568337173472,0.0013237937220105485,0.10324596774556305,0.40174876889308075,1.7999192884345123,160.1928166706716
CPI_full,exclude:all_five_review_targets,TMFI,88,-0.011149308411274395,0.024294038285273566,0.646283091971007,0.6474409092019169,-0.05876474848944779,0.03646613166689901,1.5508493290479664,133.3730422981251
CPI_full,exclude:all_five_review_targets,BMI,88,0.24600622651894294,0.07363995968908252,0.0008357885788011273,0.0012379498570081727,0.1016745577053598,0.39033789533252605,1.5508493290479664,133.3730422981251
CPI_no_imaging,primary_IVW_MRE,TMFI,93,-0.012136936791757674,0.02724367102520682,0.6559616064177576,0.6570196407836651,-0.06553355080782045,0.041259677224305104,1.812424248783457,164.93060663929458
CPI_no_imaging,primary_IVW_MRE,BMI,93,0.2971814310538576,0.08638810582057332,0.0005815562916229595,0.0008796782695994975,0.12786385495289884,0.4664990071548163,1.812424248783457,164.93060663929458
CPI_no_imaging,exclude:external_metabolic_pleiotropy,TMFI,91,-0.031705200686595526,0.029134888993994315,0.27649751600915823,0.2794356352031687,-0.08880853380839679,0.025398132435205736,1.7447401944240424,155.28187730373978
CPI_no_imaging,exclude:external_metabolic_pleiotropy,BMI,91,0.2938535810875564,0.08551990176356628,0.0005901875726968905,0.00089886047485057,0.12623765366956302,0.46146950850554974,1.7447401944240424,155.28187730373978
CPI_no_imaging,exclude:all_five_review_targets,TMFI,88,-0.024455999785324874,0.027972914938027754,0.38196890805779155,0.3844038627932217,-0.07928190560646176,0.030369906035812,1.5776442659213752,135.67740686923827
CPI_no_imaging,exclude:all_five_review_targets,BMI,88,0.2831526557056811,0.08472395125340176,0.0008315863312662758,0.0012324460252611886,0.11709676262108648,0.4492085487902757,1.5776442659213752,135.67740686923827
