outcome,stage,intercept,theta,se,bias,bias_in_se,theta_corrected,or_per_sd_corrected,ceiling,intercept_for_p05,exposure
BACK_PAIN_UKB,1 UVMR,0.014357641076099466,0.006615124888449137,0.010583902189832049,8.126609697715596e-05,0.007678273619651198,0.006533858791471981,1.0133579412787412,0.31598849323128664,2.4962901089535214,
BACK_PAIN_UKB,2 MVMR,0.014357641076099466,0.00026220212497829313,0.01200197148663448,0.00021216892323818883,0.017677839301190004,5.0033201740104304e-05,1.000101616801735,0.31598849323128664,,TMFI
BACK_PAIN_UKB,2 MVMR,0.0006975095647279379,0.12608395532543137,0.038101013393513496,-0.00018690497331497687,-0.004905511866169851,0.12627086029874635,1.1345894419022222,0.7035743750675868,,BMI
KNEE_PAIN_UKB,1 UVMR,0.016935490850193923,0.014896393583249387,0.011586180534518818,0.00010215663864175817,0.008817110896675737,0.014794236944607629,1.0305012992294975,0.3159882737127145,1.2951568024747477,
KNEE_PAIN_UKB,2 MVMR,0.016935490850193923,0.007140089483839543,0.01284293894756639,0.0003065761811325774,0.02387118574527449,0.006833513302706966,1.01397482173579,0.3159882737127145,,TMFI
KNEE_PAIN_UKB,2 MVMR,-0.009303581526451504,0.24303842223499172,0.04077053525744993,-0.0006398640967254879,-0.015694277563073362,0.2436782863317172,1.275933779116436,0.7035885383688872,,BMI
KNEE_PAIN_FIGSHARE,1 UVMR,0.008973443895934243,-0.0017480965649112454,0.010397151248539377,5.523639864851569e-05,0.0053126474096715165,-0.001803332963559761,0.9963443378317802,0.32752668651263944,3.026593592574035,
KNEE_PAIN_FIGSHARE,2 MVMR,0.008973443895934243,0.004345766862499478,0.011874524602917963,0.00014593109457672205,0.012289426268135565,0.0041998357679227565,1.008565858923868,0.32752668651263944,,TMFI
KNEE_PAIN_FIGSHARE,2 MVMR,0.0,-0.10000648571312191,0.037699115215410736,-0.00014478878666149985,-0.003840641506682171,-0.09986169692646041,0.904962568486074,,,BMI
