"outcome","method","nsnp","beta","se","p","ci_low","ci_high"
"CPI_full","IVW_multiplicative_random_effects",42,0.0108656809106435,0.0185671504986081,0.558406566351108,-0.0255259340666283,0.0472572958879154
"CPI_full","IVW_fixed_effects",42,0.0108656809106435,0.0162217529824388,0.502971507732698,-0.0209289549349365,0.0426603167562236
"CPI_full","Weighted_median_bootstrap",42,0.0172277005674675,0.0250567875227286,0.491738559404811,-0.0318836029770807,0.0663390041120156
"CPI_full","MR_Egger",42,0.00808300884566301,0.0188109275650084,0.669721662289192,-0.0287864091817535,0.0449524268730795
"CPI_no_imaging","IVW_multiplicative_random_effects",42,0.00722009522502227,0.0201887214375507,0.7206201215036,-0.032349798792577,0.0467899892426216
"CPI_no_imaging","IVW_fixed_effects",42,0.00722009522502227,0.0185143317076477,0.696556282832804,-0.0290679949219672,0.0435081853720118
"CPI_no_imaging","Weighted_median_bootstrap",42,0.0121316674087645,0.0295513755129586,0.681418660051891,-0.0457890285966343,0.0700523634141632
"CPI_no_imaging","MR_Egger",42,0.00406735088031035,0.0204338096590722,0.843231948792854,-0.0359829160514712,0.044117617812092
