"outcome","nsnp","q_ivw_outcome_only","q_ivw_df","phi","q_validity_modified","q_validity_df","q_validity_p","egger_intercept","egger_intercept_se_mre","egger_tmfi_beta","egger_tmfi_se_mre","egger_bmi_beta","egger_bmi_se_mre","egger_q","egger_df","tmfi_conditional_f","bmi_conditional_f","tmfi_strength_q","bmi_strength_q"
"CPI_full",93,172.505217782689,91,1.8956617338757,171.477625228659,90,5.03513208583437e-07,-0.00130845798290701,0.00185851283801983,-0.00298920572148351,0.0244795765683932,0.27210749882207,0.0792687525975295,171.560367732354,90,22.1189821332078,35.2337665188432,2057.06533838833,3276.74028625242
"CPI_no_imaging",93,164.930606639295,91,1.81242424878346,163.932918807556,90,3.16370872929828e-06,0.00035758103315124,0.0020790666716937,-0.0121760536133229,0.0273910500066657,0.29413743425109,0.0886373847878711,164.876415517129,90,22.1189821332078,35.2337665188432,2057.06533838833,3276.74028625242
