phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	39997	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GASTROENTERITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GASTROENTERITIS_NOS.gz
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1163	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GONOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GONOCOCCAL.gz
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	622	499726	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HELMINTIASES.gz
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	148	497572	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HEPATITIS_A.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HEPATITIS_A.gz
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	148	497572	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HEPATITIS_B.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HEPATITIS_B.gz
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4677	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HERPES_SIMPLEX.gz
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	78	499754	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HIV_INFECT_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HIV_INFECT_PARASITES.gz
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	299	499754	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HIV_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HIV_NOS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	56056	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_INTESTINAL_INFECTIONS.gz
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	431	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LATE_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LATE_SYPHILIS.gz
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	150	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LISTERIOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LISTERIOSIS.gz
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	10516	489832	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LYME.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LYME.gz
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	170	499430	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA.gz
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	80	499430	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA_FALCIPARIUM.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA_FALCIPARIUM.gz
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	75	499430	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MALARIA_NOS.gz
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	425	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MEASLES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MEASLES.gz
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	282	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MENINGOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MENINGOCOCCAL.gz
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	995	486087	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MUMPS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MUMPS.gz
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	11371	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYCOSES.gz
AB1_MYSOSIS_NOS	Other mycoses, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	99	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYSOSIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYSOSIS_NOS.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	61300	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	346	496827	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACT_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACT_INOTHER.gz
AB1_OTHER_CESTODE	Other cestode infections	I Certain infectious and parasitic diseases (AB1_)	121	499726	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CESTODE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CESTODE.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	426	499922	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_CHLAMYDIAE.gz
