outcome,exposure,method,nsnp,beta,se,p,ci_low,ci_high,p_t_df91
CPI_full,TMFI,MVMR_IVW_fixed,93,-0.0031315288194449,0.017729719427738,0.859802196886324,-0.0378817788978114,0.0316187212589214,0.8601946991603227
CPI_full,TMFI,MVMR_IVW_multiplicative_random_effects,93,-0.0031315288194449,0.0244108152976977,0.89792384443241,-0.0509767268029325,0.0447136691640425,0.8982069290992725
CPI_full,BMI,MVMR_IVW_fixed,93,0.260973218152723,0.0562593401790735,3.50516603000623e-06,0.150704911401739,0.371241524903707,1.1702738234750399e-05
CPI_full,BMI,MVMR_IVW_multiplicative_random_effects,93,0.260973218152723,0.0774595654194694,0.0007539924147655,0.109152469930563,0.412793966374883,0.0011072389031645561
CPI_no_imaging,TMFI,MVMR_IVW_fixed,93,-0.0121369367917577,0.0202365137014057,0.548669971664201,-0.0518005036465128,0.0275266300629974,0.5501604556943974
CPI_no_imaging,TMFI,MVMR_IVW_multiplicative_random_effects,93,-0.0121369367917577,0.0272436710252068,0.655961606417758,-0.065534532001163,0.0412606584176477,0.6570196407836618
CPI_no_imaging,BMI,MVMR_IVW_fixed,93,0.297181431053857,0.0641688150418137,3.63475451377439e-06,0.171410553571903,0.422952308535812,1.2051281141482469e-05
CPI_no_imaging,BMI,MVMR_IVW_multiplicative_random_effects,93,0.297181431053857,0.0863881058205733,0.0005815562916229,0.127860743645534,0.466502118462181,0.0008796782695995167
